Date,Sum of USAGE,Sum of COST,System Production (Wh),Production(kWh),Day,MaxTemp,AvgTemp,MinTemp
3/3/2024,-20.83,-3.05,58809,58.809,3,72,58,44
3/4/2024,10.36,1.53,21647,21.647,4,72,59.9,44
3/5/2024,6.97,1.02,21823,21.823,5,44,41.6,40
3/6/2024,-14.58,-2.16,24945,24.945,6,46,41.1,37
3/7/2024,-24.61,-3.65,30512,30.512,7,50,43.5,37
3/8/2024,25.94,3.81,3863,3.863,8,46,43.4,39
3/9/2024,-20.31,-3.03,30541,30.541,9,45,39.3,34
3/10/2024,-33.17,-4.87,36380,36.38,10,33,32.5,32
3/11/2024,-35.74,-5.27,34146,34.146,11,67,50.5,33
3/12/2024,-23.99,-3.5,27846,27.846,12,70,59.2,47
3/13/2024,-27.17,-4,31193,31.193,13,68,56.4,50
3/14/2024,26.45,3.89,3982,3.982,14,62,49.8,41
3/15/2024,-25.17,-3.71,28339,28.339,15,53,42.5,37
3/16/2024,-18.92,-2.77,27628,27.628,16,58,47.1,41
3/17/2024,-8.76,-1.28,24015,24.015,17,42,35.3,30
3/18/2024,5.58,0.81,18111,18.111,18,35,29.9,24
3/19/2024,-34.18,-5.03,34657,34.657,19,57,42.5,30
3/20/2024,-46.07,-6.75,39448,39.448,20,43,36.4,30
3/21/2024,-10.7,-1.56,26374,26.374,21,40,33.9,28
3/22/2024,39.1,5.72,72,0.072,22,38,33.9,30
3/23/2024,-0.8,-0.12,20093,20.093,23,38,33.2,28
3/24/2024,5.36,0.8,16603,16.603,24,47,40.5,33
3/25/2024,18.97,2.76,7645,7.645,25,62,53.2,46
3/26/2024,17.11,2.53,11342,11.342,26,55,47.3,33
3/27/2024,-10.29,-1.5,27533,27.533,27,42,34.3,29
3/28/2024,-27.75,-4.08,30561,30.561,28,50,39.7,29
3/29/2024,-36.62,-5.36,36615,36.615,29,53,42.3,33
3/30/2024,-11.52,-1.71,18156,18.156,30,61,47,40
3/31/2024,-19.81,-2.94,24126,24.126,31,52,42.2,38
4/1/2024,-10.67,-1.59,20800,20.8,1,48,43.8,42
4/2/2024,31.03,4.6,4693,4.693,2,44,41.5,36
4/3/2024,26.75,3.94,6589,6.589,3,38,36.1,34
4/4/2024,11.22,1.67,12902,12.902,4,44,38.9,36
4/5/2024,-7.92,-1.17,22366,22.366,5,48,42,37
4/6/2024,-54,-7.97,43576,43.576,6,52,42.9,33
4/7/2024,15.24,2.28,7234,7.234,7,50,45.5,39
4/8/2024,-46.81,-6.89,37660,37.66,8,71,59.4,46
4/9/2024,0.63,0.09,41104,41.104,9,62,57.4,50
