Date,Sum of USAGE,Sum of COST,System Production (Wh),Production(kWh),Day,MaxTemp,AvgTemp,MinTemp,CostPerkWH,Production_Overage,Production_Shortfall,Total_Usage,Negative_Production_Shortfall
2024-03-27,-10.289999999999996,-1.4999999999999996,27533,27.533,27,42,34.3,29,0.1457725947521866,10.289999999999996,,17.243000000000006,-0.0
2024-03-28,-27.75,-4.079999999999999,30561,30.561,28,50,39.7,29,0.147027027027027,27.75,,2.811,-0.0
2024-03-29,-36.61999999999999,-5.360000000000002,36615,36.615,29,53,42.3,33,0.14636810486073193,36.61999999999999,,-0.004999999999988347,-0.0
2024-03-30,-11.519999999999992,-1.7099999999999995,18156,18.156,30,61,47.0,40,0.14843750000000006,11.519999999999992,,6.636000000000006,-0.0
2024-03-31,-19.809999999999995,-2.9400000000000004,24126,24.126,31,52,42.2,38,0.14840989399293292,19.809999999999995,,4.316000000000006,-0.0
2024-04-01,-10.670000000000005,-1.5899999999999999,20800,20.8,1,48,43.8,42,0.14901593252108708,10.670000000000005,,10.129999999999995,-0.0
2024-04-02,31.03000000000001,4.6000000000000005,4693,4.693,2,44,41.5,36,0.1482436351917499,,-31.03000000000001,35.723000000000006,-31.03000000000001
2024-04-03,26.750000000000004,3.94,6589,6.589,3,38,36.1,34,0.14728971962616821,,-26.750000000000004,33.339000000000006,-26.750000000000004
2024-04-04,11.22,1.67,12902,12.902,4,44,38.9,36,0.14884135472370766,,-11.22,24.122,-11.22
2024-04-05,-7.920000000000001,-1.1699999999999993,22366,22.366,5,48,42.0,37,0.14772727272727262,7.920000000000001,,14.445999999999998,-0.0
2024-04-06,-54.00000000000002,-7.97,43576,43.576,6,52,42.9,33,0.14759259259259253,54.00000000000002,,-10.42400000000002,-0.0
2024-04-07,15.24,2.2799999999999994,7234,7.234,7,50,45.5,39,0.14960629921259838,,-15.24,22.474,-15.24
2024-04-08,-46.80999999999999,-6.890000000000001,37660,37.66,8,71,59.4,46,0.14719077120273452,46.80999999999999,,-9.149999999999991,-0.0
2024-04-09,0.63,0.09,41104,41.104,9,62,57.4,50,0.14285714285714285,,-0.63,41.734,-0.63
